LFQ intensity a1	LFQ intensity a2	LFQ intensity a3	LFQ intensity a4	LFQ intensity b1	LFQ intensity b2	LFQ intensity b3	LFQ intensity b4	LFQ intensity c1	LFQ intensity c2	LFQ intensity c3	LFQ intensity c4	LFQ intensity d1	LFQ intensity d2	LFQ intensity d3	LFQ intensity d4	LFQ intensity e1	LFQ intensity e2	LFQ intensity e3	LFQ intensity e4	Student's T-test Significant b_a	Student's T-test Significant c_a	Student's T-test Significant d_a	Student's T-test Significant e_a	Student's T-test Significant c_b	Student's T-test Significant d_b	Student's T-test Significant e_b	Student's T-test Significant d_c	Student's T-test Significant e_c	Student's T-test Significant e_d	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Student's T-test p-value b_a	Student's T-test q-value b_a	Student's T-test Difference b_a	Student's T-test Test statistic b_a	Student's T-test p-value c_a	Student's T-test q-value c_a	Student's T-test Difference c_a	Student's T-test Test statistic c_a	Student's T-test p-value d_a	Student's T-test q-value d_a	Student's T-test Difference d_a	Student's T-test Test statistic d_a	Student's T-test p-value e_a	Student's T-test q-value e_a	Student's T-test Difference e_a	Student's T-test Test statistic e_a	Student's T-test p-value c_b	Student's T-test q-value c_b	Student's T-test Difference c_b	Student's T-test Test statistic c_b	Student's T-test p-value d_b	Student's T-test q-value d_b	Student's T-test Difference d_b	Student's T-test Test statistic d_b	Student's T-test p-value e_b	Student's T-test q-value e_b	Student's T-test Difference e_b	Student's T-test Test statistic e_b	Student's T-test p-value d_c	Student's T-test q-value d_c	Student's T-test Difference d_c	Student's T-test Test statistic d_c	Student's T-test p-value e_c	Student's T-test q-value e_c	Student's T-test Difference e_c	Student's T-test Test statistic e_c	Student's T-test p-value e_d	Student's T-test q-value e_d	Student's T-test Difference e_d	Student's T-test Test statistic e_d	Protein IDs	Majority protein IDs	Protein names	Gene names
28.65891	28.31618	28.15064	28.69886	28.22527	28.46583	28.62216	28.54558	28.11292	28.10584	28.25453	28.6391	28.5598	28.02871	28.38792	28.3256	28.25917	27.98978	28.53805	27.74214												2	2	2	51.8	51.8	51.8	11.514	0	26.667	7259800000	103	0.958680904034919	0.980058009228741	0.00856256484985352	0.0540096552649236	0.36755481044385	0.437229403058708	-0.178047657012939	-0.974256566442808	0.479138779375551	0.457190938511327	-0.130640983581543	-0.754439586244174	0.186565085698419	0.1246100456621	-0.323864459991455	-1.49095524998485	0.264954506820126	0.564543629343629	-0.186610221862793	-1.22936476407567	0.358787085084199	0.487400318979266	-0.139203548431396	-0.993591017186791	0.133937084778293	0.151072961373391	-0.332427024841309	-1.73225336114678	0.786063192066952	0.935539524174981	0.0474066734313965	0.283853775348368	0.517923359922765	0.603762049500651	-0.145816802978516	-0.686689097040059	0.380452801429249	0.667716554673183	-0.193223476409912	-0.946463352523135	P05386	P05386	60S acidic ribosomal protein P1	RPLP1
32.60719	32.73935	32.64248	32.63737	32.64607	32.5943	32.67552	32.5777	32.55732	32.61164	32.61362	32.5303	32.62065	32.55659	32.50564	32.30737	32.56056	32.43577	32.41142	32.48891				+			+				e_a;e_b	8	8	8	73.9	73.9	73.9	11.665	0	295.7	133880000000	614	0.398585995161725	0.68059532595326	-0.0332002639770508	-0.908599913233424	0.0682144951100648	0.119353339787028	-0.0783786773681641	-2.21982353013936	0.0735282728782765	0.0834569732937685	-0.159036636352539	-2.16538765542815	0.0058680231257418	0.00717276166456494	-0.182432174682617	-4.17160814172547	0.190843748918121	0.487259398496241	-0.0451784133911133	-1.47428831493103	0.128114025740836	0.251197255574614	-0.125836372375488	-1.76439373580203	0.00979255261368393	0.0227648725212465	-0.149231910705566	-3.72515361190668	0.297394652963281	0.682995230524642	-0.080657958984375	-1.14089885587571	0.036922593281764	0.109778364116095	-0.104053497314453	-2.67210844559304	0.766416486736355	0.885434700790365	-0.0233955383300781	-0.310869399048006	P05387	P05387	60S acidic ribosomal protein P2	RPLP2
31.40603	31.65583	31.47194	31.46383	31.5973	31.63439	31.54329	31.42182	31.58181	31.57339	31.4717	31.33063	31.51869	31.51691	31.35794	31.4343	31.48347	31.42407	31.37974	31.29137												13	13	13	43.5	43.5	43.5	34.273	0	160.64	63883000000	609	0.511217734764325	0.744237948717949	0.0497922897338867	0.698153938018598	0.9040943025083	0.919537368955022	-0.0100226402282715	-0.125675274120718	0.546340910351499	0.519782608695652	-0.042447566986084	-0.639142307850197	0.172282123666249	0.115904539073467	-0.104744434356689	-1.54930434430018	0.453773277752269	0.700302610548748	-0.0598149299621582	-0.80081442302035	0.176636783469876	0.308688741721854	-0.0922398567199707	-1.53104775772554	0.0458820441167733	0.0648765217391304	-0.154536724090576	-2.51034151476888	0.659639182098263	0.898370040124833	-0.0324249267578125	-0.463062741022265	0.231474967582295	0.350065989847716	-0.094721794128418	-1.33117973557255	0.306955599224866	0.609380084151473	-0.0622968673706055	-1.11639615162273	P05388;Q8NHW5	P05388;Q8NHW5	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	RPLP0;RPLP0P6
28.8396	28.77558	28.84995	28.90426	28.93666	28.856	28.75869	28.67169	28.66915	28.77486	28.75341	28.82177	28.78222	28.63163	28.80024	28.83807	28.77872	28.73896	28.74288	28.85558												15	15	15	29.9	29.9	29.9	46.836	0	89.694	11318000000	352	0.584704973096392	0.781573159366263	-0.0365924835205078	-0.577342934539331	0.0789271156040103	0.13237192342753	-0.0875515937805176	-2.11407422079478	0.181229128677968	0.181041575492341	-0.0793108940124512	-1.51224746527799	0.144778009188866	0.099656862745098	-0.0633163452148438	-1.67588358120856	0.468557283959938	0.713798952879581	-0.0509591102600098	-0.77357066451207	0.581333328074349	0.662702838063439	-0.0427184104919434	-0.582674301356419	0.689228240570635	0.641567300916138	-0.0267238616943359	-0.419829542944604	0.886694679939231	0.963885081343025	0.00824069976806641	0.148657070739806	0.58342425476252	0.654832104832105	0.0242352485656738	0.57936590880987	0.772071781944541	0.887453592814371	0.0159945487976074	0.303067197354041	P05455	P05455	Lupus La protein	SSB
NaN	25.43682	NaN	NaN	25.71146	NaN	25.23166	NaN	NaN	25.05196	25.10442	25.03267	NaN	NaN	NaN	25.07055	NaN	25.32481	25.42291	25.18276												2	2	2	5.6	5.6	5.6	41.367	0.0066538	2.0788	930530000	36	1	0.988397852857594	0.0347318649291992	0	1	1	-0.373807907104492	0	1	1	-0.366277694702148	0	1	0.984416434970652	-0.126664479573567	0	0.109141076140136	0.383183135704875	-0.408539772033691	-2.25786538509697	1	0.98111719470932	-0.401009559631348	0	0.47908976981425	0.454952796509322	-0.161396344502766	-0.806243818842792	1	0.979163133640553	0.00753021240234375	0	0.0275642922467205	0.0888766328011611	0.247143427530926	3.38865125165139	1	0.951553978112984	0.239613215128582	0	P05459	P05459	Erythronate-4-phosphate dehydrogenase	pdxB
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.78604	NaN	NaN	NaN												1	1	1	4.6	4.6	4.6	48.062	0	6.0216	17585000	13	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	1	0.984112415071032	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	0.961668365817091	NaN	0	1.0000001	1	0	0	1	0.961539844218095	NaN	0	1	0.951272619751626	NaN	0	P05549;Q6VUC0;Q92481	P05549;Q6VUC0;Q92481	Transcription factor AP-2-alpha;Transcription factor AP-2-epsilon;Transcription factor AP-2-beta	TFAP2A;TFAP2E;TFAP2B
30.33181	30.33181	30.37782	30.38885	30.31462	30.23626	30.3687	30.37088	30.22412	30.23409	30.24298	30.33277	30.25056	30.14382	30.26607	30.25462	30.17546	30.18518	30.25226	30.26495		+	+	+							c_a;d_a;e_a	15	15	15	23.4	23.4	23.4	88.414	0	74.492	27876000000	338	0.356316480225716	0.649586754966887	-0.0349564552307129	-0.99910680660831	0.0146723608690805	0.0452945454545455	-0.0990824699401855	-3.39018100983965	0.00714973292961086	0.0173532338308458	-0.128803730010986	-3.99621650265348	0.0023313397514178	0.00433278955954323	-0.138111591339111	-5.05099409132337	0.162838469349727	0.451406345957011	-0.0641260147094727	-1.59044291989008	0.069557306217714	0.173233853006682	-0.0938472747802734	-2.20566491531464	0.038201433732577	0.0568963585434174	-0.103155136108398	-2.64660753979136	0.463338925535655	0.810918665886483	-0.0297212600708008	-0.783116688111804	0.29340918802314	0.405768753525099	-0.0390291213989258	-1.15130938014544	0.807346375669686	0.906866279069767	-0.009307861328125	-0.254853879136034	P05556	P05556	Integrin beta-1	ITGB1
33.76939	33.7362	33.79943	33.79178	33.74505	33.69582	33.75165	33.70985	33.66257	33.66405	33.67167	33.71896	33.63017	33.60896	33.64119	33.71733	33.57846	33.60554	33.63903	33.6244		+	+	+			+		+		c_a;d_a;e_a;e_b;e_c	37	37	25	77.2	77.2	61.6	48.057	0	323.31	315940000000	2595	0.0476986141251854	0.24009980806142	-0.048609733581543	-2.48164967351848	0.00279478039692313	0.0114380165289256	-0.0948886871337891	-4.869857289263	0.00396771123342131	0.0112676056338028	-0.124791145324707	-4.53176782972669	0.000153256504100448	0.000353591160220994	-0.162341117858887	-8.41758213277041	0.0508255661854684	0.256424361493124	-0.0462789535522461	-2.43485908628251	0.0311349652171908	0.110946107784431	-0.0761814117431641	-2.80070612092934	0.000924494015761451	0.00377829099307159	-0.113731384277344	-6.04863195712113	0.312564276449153	0.698703618167821	-0.029902458190918	-1.10231853115865	0.0112592277606701	0.0438348968105066	-0.0674524307250977	-3.60790270742746	0.213459737883694	0.509675958188153	-0.0375499725341797	-1.39154727076132	P05783;CON__H-INV:HIT000015463	P05783	Keratin, type I cytoskeletal 18	KRT18
28.09557	27.94162	27.98212	28.06948	27.91125	27.92264	28.12647	27.90896	27.89012	27.76357	27.94943	27.93483	27.96295	27.90953	27.97295	27.89983	27.94302	27.9165	27.82189	27.94308				+							e_a	2	2	2	8.2	8.2	8.2	21.145	0	55.011	5400700000	57	0.426132939545808	0.698094792276185	-0.0548691749572754	-0.85350884932619	0.0480713016206852	0.0920622222222222	-0.137709140777588	-2.47590590123279	0.0790122443248509	0.0876840579710145	-0.085881233215332	-2.11329422036787	0.0458500753318053	0.0353946666666667	-0.116077423095703	-2.51085712693022	0.268054456884519	0.568319018404908	-0.0828399658203125	-1.22051949658473	0.601355385114921	0.677493442622951	-0.0310120582580566	-0.551274617573424	0.350121628889353	0.340681898066784	-0.0612082481384277	-1.01307269080232	0.303886409694494	0.689923016496465	0.0518279075622559	1.12419106252679	0.686812788955067	0.739335104364326	0.0216317176818848	0.423324517722198	0.411150471324462	0.690892379290285	-0.0301961898803711	-0.883128978733371	P05976;P08590	P05976;P08590	Myosin light chain 1/3, skeletal muscle isoform;Myosin light chain 3	MYL1;MYL3
NaN	25.53053	25.20445	25.54769	25.61737	25.5368	NaN	25.59983	25.53724	25.19419	25.30421	NaN	25.56133	25.52922	25.39748	24.67654	25.39882	25.41738	25.63691	NaN												6	6	6	8	8	8	144.91	0	13.682	857510000	42	0.241298297780714	0.557041988003428	0.157107671101887	1.37438112077885	0.613721427508887	0.664609324758842	-0.08234469095866	-0.546588190403033	0.626295933386972	0.595482142857143	-0.136415481567383	-0.518399154235875	0.696198797451693	0.609295932678822	0.0568122863769531	0.419800396631359	0.0828137172207997	0.337104294478528	-0.239452362060547	-2.30137472898292	0.287805788154218	0.426069863824748	-0.29352315266927	-1.18904962485125	0.279650612540835	0.277211892402076	-0.100295384724934	-1.24935875149095	0.843550633386954	0.949714079942384	-0.0540707906087228	-0.207845049799305	0.334007775309366	0.447239527389903	0.139156977335613	1.09761730723401	0.481433604181868	0.733408099688474	0.193227767944336	0.760181031710443	P05997	P05997	Collagen alpha-2(V) chain	COL5A2
25.52606	25.74599	26.02079	25.67939	26.02595	25.83002	25.63489	25.58703	26.00024	25.43501	25.64935	25.50839	25.76469	25.57764	25.53255	25.63315	25.69785	25.73485	25.79037	25.78364												7	7	7	24.5	24.5	24.5	40.786	0	20.661	1163100000	62	0.860565386447442	0.926148253741981	0.0264177322387695	0.183346041132995	0.581057307230826	0.638853839801817	-0.0948066711425781	-0.583111564344755	0.35177906974572	0.336198757763975	-0.116049289703369	-1.00931684916223	0.937638206439711	0.920217462932455	0.00861978530883789	0.0815744982815584	0.479105248115326	0.718458376156218	-0.121224403381348	-0.754499744357987	0.251373279128441	0.395232911392405	-0.142467021942139	-1.26921522354184	0.868101958999191	0.829151715039578	-0.0177979469299316	-0.173316394113875	0.880285787788884	0.962424791086351	-0.021242618560791	-0.157144378995529	0.447738174459619	0.548708742402992	0.103426456451416	0.812117436839357	0.0632752383728416	0.292195615514334	0.124669075012207	2.27450407826618	P06132	P06132	Uroporphyrinogen decarboxylase	UROD
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.5316	NaN	NaN	23.6725	23.51099	23.49399	NaN												3	3	3	6.7	6.7	6.7	64.612	0	4.6038	93503000	14	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1	0.983808582895956	NaN	0	1.0000001	1	0	0	1	0.980815498154982	NaN	0	1	0.961380095923261	NaN	0	1	0.978862407862408	NaN	0	1	0.96125187181791	NaN	0	1	0.95099142772687	0.0275592803955078	0	P06149	P06149	D-lactate dehydrogenase	dld
NaN	NaN	24.57086	NaN	24.4075	24.30821	24.64741	24.27555	24.42809	24.81836	24.69922	NaN	NaN	24.55327	NaN	24.31672	NaN	24.36205	NaN	24.20888												3	3	3	9.6	9.6	9.6	48.766	0	4.6614	423180000	14	1	0.988085858585859	-0.16119384765625	0	1	1	0.0777022043863944	0	1	1	-0.135862350463867	0	1	0.983504938271605	-0.285388946533203	0	0.14553198464615	0.434086763070078	0.238896052042644	1.72282048457096	0.870173497776054	0.883631081081081	0.0253314971923828	0.174194491846142	0.408193633324607	0.390977054651648	-0.124195098876953	-0.923108152256061	0.305343982906751	0.690389366692729	-0.213564554850262	-1.23312060004752	0.10747188625873	0.216288986784141	-0.363091150919598	-2.27456475291559	0.399805458547128	0.681047281323877	-0.149526596069336	-1.06119766876944	P06280	P06280	Alpha-galactosidase A	GLA
NaN	NaN	NaN	29.09459	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.13453	NaN	NaN	NaN	29.04916												2	2	2	15.3	15.3	15.3	12.203	0	30.057	13056000000	248	1	0.98777406121805	NaN	0	1	1	NaN	0	1	1	0.0399360656738281	0	1	0.983201481024375	-0.0454292297363281	0	1.0000001	1	0	0	1	0.980513987088841	NaN	0	1	0.961091998801319	NaN	0	1	0.978561866748542	NaN	0	1	0.960964071856287	NaN	0	1	0.950710401891253	-0.0853652954101563	0	P06454	P06454	Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1	PTMA
29.74527	29.70514	29.80313	29.71076	29.55863	29.59777	29.79352	29.73501	29.58681	29.62589	29.57523	29.71011	29.51508	29.47342	29.62303	29.6372	29.45529	29.48381	29.60006	29.58851			+	+							d_a;e_a	14	14	12	56.9	56.9	50.5	34.095	0	154.28	18115000000	391	0.288480881067501	0.606693436293436	-0.0698428153991699	-1.16434990212126	0.0218363419175789	0.0568408037094281	-0.116567134857178	-3.07377219764059	0.00816917559927401	0.0187848101265823	-0.178891181945801	-3.88016079703144	0.00278751787656288	0.00453582554517134	-0.209156513214111	-4.8724259879646	0.489121768569317	0.724141843971631	-0.0467243194580078	-0.736656518788084	0.163191545933354	0.29539663093415	-0.109048366546631	-1.58886457963322	0.0811838609154204	0.0969877609791217	-0.139313697814941	-2.09368177002233	0.263316129351196	0.651131034482759	-0.062324047088623	-1.23407607646673	0.0998368349515152	0.205820489573889	-0.0925893783569336	-1.94435810895168	0.597832586987975	0.793209426411739	-0.0302653312683105	-0.556754820836463	P06493;Q96Q40;O94921;Q07002	P06493	Cyclin-dependent kinase 1	CDK1
32.06869	32.12062	32.11505	32.0413	32.04924	32.06027	32.07399	32.03551	32.07368	32.05601	31.98026	32.04176	32.05061	32.00357	31.9923	31.98067	31.94395	31.99742	31.97398	31.97384			+	+			+				d_a;e_a;e_b	24	24	24	63.9	63.9	63.9	56.559	0	323.31	99515000000	1238	0.176982176596232	0.493466666666667	-0.0316591262817383	-1.52961791084426	0.1319325213805	0.189867636363636	-0.048487663269043	-1.74316076474984	0.0172595360524681	0.0301124694376528	-0.0796294212341309	-3.25950342047569	0.00201511881936133	0.00393918918918919	-0.114115715026855	-5.19985498568767	0.47106784430349	0.713633714880333	-0.0168285369873047	-0.769004611776006	0.0328341994901035	0.114315169366716	-0.0479702949523926	-2.76045620692023	0.000936935566337699	0.00375229357798165	-0.0824565887451172	-6.03326711231965	0.266831227134077	0.654583404619333	-0.0311417579650879	-1.22399913481806	0.0293740813792125	0.0932649572649573	-0.0656280517578125	-2.84498764074965	0.11702662836358	0.384181595092025	-0.0344862937927246	-1.82976254945136	P06576	P06576	ATP synthase subunit beta, mitochondrial	ATP5B
24.85909	24.63223	NaN	NaN	25.53475	25.071	25.56474	25.27874	25.58035	25.71269	25.57986	25.60181	25.94378	26.10937	26.20075	25.96054	26.25059	26.43087	26.44226	26.3068		+	+	+		+	+	+	+		c_a;d_a;d_b;d_c;e_a;e_b;e_c	4	4	4	33.3	33.3	33.3	20.469	0	24.784	1135600000	55	0.0304471422790924	0.190283062645012	0.616647720336914	3.28187072451342	0.000488940959337694	0.00351330798479087	0.873021602630615	10.3658443939777	0.000347286227726565	0.00156129032258065	1.30795049667358	11.3187621104897	8.33438225577108E-05	0.000392638036809816	1.61197233200073	16.2782388673955	0.0777389785945838	0.33084430176565	0.256373882293701	2.12505136044531	0.00191933436853108	0.0173213213213213	0.69130277633667	5.25024990346429	0.000213887132286589	0.00101204819277108	0.995324611663818	7.92825188655854	0.000759199068873194	0.0253737373737374	0.434928894042969	6.27851116731877	1.26592353028336E-05	0	0.738950729370117	13.0177380666229	0.00777115996779382	0.105248120300752	0.304021835327148	3.92344036000081	P06610	P06610	Vitamin B12 transport periplasmic protein BtuE	btuE
30.83372	31.18843	30.98142	30.84782	31.16405	31.10606	30.95234	30.81222	31.29969	31.05801	30.97425	30.81436	31.16782	30.83974	30.8313	30.83748	31.05343	30.95144	30.71767	30.75302												5	5	5	52.2	52.2	52.2	10.18	0	24.766	55592000000	218	0.702160888457352	0.845764077270859	0.0458226203918457	0.401214106222339	0.592295776258057	0.648587801882931	0.0737357139587402	0.56540582981567	0.720768796536642	0.690596566523605	-0.043759822845459	-0.374702067051749	0.444595948204828	0.345279265493497	-0.0939550399780273	-0.818045824966615	0.835313308200338	0.928127735916756	0.0279130935668945	0.217114954764936	0.464550846902095	0.568151992585727	-0.0895824432373047	-0.78089298553249	0.261367029361756	0.261222007722008	-0.139777660369873	-1.2397143071969	0.40383243150694	0.768430689877498	-0.117495536804199	-0.897891382028379	0.241766085414688	0.359398009950249	-0.167690753936768	-1.2985660447627	0.678687506711694	0.83885994283381	-0.0501952171325684	-0.435124630395774	P06703	P06703	Protein S100-A6	S100A6
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.55579	NaN	23.34868	NaN	23.67508	NaN	NaN	NaN												3	3	3	8	8	8	48.772	0	5.2017	84221000	7	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1	0.982898210980876	NaN	0	1.0000001	1	0	0	1	0.980212661339889	NaN	0	1	0.960804074295986	NaN	0	1	0.978261510128913	NaN	0	1	0.96067644417839	NaN	0	1	0.950429542097489	0.222850799560547	0	P06715	P06715	Glutathione reductase	gor
27.47893	27.66166	27.34198	27.46863	27.76047	27.58907	27.19498	27.24608	27.21354	27.39934	27.36403	27.55223	27.26356	27.25088	27.2507	27.37219	27.21243	27.36953	27.17007	27.43253			+								d_a	5	5	5	34.1	34.1	34.1	25.097	0	15.357	3668000000	70	0.799448335022465	0.891441198501873	-0.0401511192321777	-0.26558523053447	0.312496880791944	0.38121484579195	-0.105515480041504	-1.10248643685055	0.030236202392046	0.0423463463463463	-0.203468322753906	-2.82296092968393	0.0791594229644118	0.0561387940841866	-0.191660404205322	-2.1119477065842	0.683809102838684	0.838988617886179	-0.0653643608093262	-0.427678815429518	0.285348405159399	0.425065554231228	-0.163317203521729	-1.17273751872863	0.350798819655141	0.34116542343133	-0.151509284973145	-1.0115364251447	0.242071338658448	0.637550644567219	-0.0979528427124023	-1.29761769790651	0.392329402204852	0.499918650793651	-0.0861449241638184	-0.921511654358777	0.869924330079932	0.934637392795883	0.011807918548584	0.170894267891821	P06730	P06730	Eukaryotic translation initiation factor 4E	EIF4E
34.24828	34.24728	34.29775	34.29001	34.22152	34.18305	34.32891	34.24997	34.19183	34.21466	34.21009	34.18201	34.08163	34.0949	34.21429	34.19227	34.05763	34.11691	34.11536	34.1317		+	+	+			+		+		c_a;d_a;e_a;e_b;e_c	34	34	32	73.7	73.7	70.3	47.168	0	323.31	471250000000	4857	0.48639836829014	0.727064413938754	-0.0249691009521484	-0.741482933071452	0.00365699174283228	0.0145284974093264	-0.0711841583251953	-4.60907915126085	0.013536968317955	0.0257006622516556	-0.125056266784668	-3.45577836149658	0.000229748457826763	0.000407310704960836	-0.165431022644043	-7.82646182506822	0.19673301246722	0.494664199814986	-0.0462150573730469	-1.45190611601513	0.0708456533262084	0.175089502762431	-0.10008716583252	-2.19234321365661	0.00696654624491138	0.0181700154559505	-0.140461921691895	-4.01902582394821	0.169199576362469	0.558209436133487	-0.0538721084594727	-1.56249271163342	0.00197651084576063	0.00941114058355438	-0.0942468643188477	-5.21983333515654	0.321543431145882	0.622780354706685	-0.040374755859375	-1.08021257857367	P06733	P06733	Alpha-enolase	ENO1
26.30142	26.47735	26.30173	26.36164	26.39948	26.29344	26.41401	26.36309	26.49809	26.39349	26.42424	26.25618	26.16986	26.14872	26.19445	26.31301	26.35934	26.07273	26.33579	26.36419			+								d_a	14	11	10	22.6	18.2	16.9	97.147	0	25.777	1767800000	62	0.892390021732302	0.945125565217391	0.00697231292724609	0.141125172156001	0.637302769549798	0.6855	0.032465934753418	0.496352506574908	0.0318912092982288	0.045258382642998	-0.154025077819824	-2.78250877414376	0.379119336251897	0.283053459119497	-0.077519416809082	-0.949302343293837	0.672102246971246	0.834720527617477	0.0254936218261719	0.444738661491851	0.0122608751118315	0.0596892430278884	-0.16099739074707	-3.53716598622702	0.304941730103749	0.299256198347107	-0.0844917297363281	-1.12150341720476	0.0245494419914701	0.214615384615385	-0.186491012573242	-2.98274163619237	0.251485171667984	0.367734146341463	-0.1099853515625	-1.26887926285673	0.372296632113452	0.660683591331269	0.0765056610107422	0.963951176427602	P06737	P06737	Glycogen phosphorylase, liver form	PYGL
31.43802	31.35468	31.42302	31.45601	31.30737	31.3582	31.36296	31.46417	31.25575	31.29762	31.29159	31.39233	31.2757	31.24813	31.34837	31.35037	31.18281	31.24485	31.36374	31.31711			+	+							d_a;e_a	20	20	14	46.6	46.6	37.1	63.146	0	323.31	58846000000	692	0.301496131397651	0.619186186186186	-0.0447611808776855	-1.13030763319978	0.0250878215992655	0.0608766328011611	-0.10861349105835	-2.96597908325232	0.0164433148190073	0.0295522388059702	-0.11229419708252	-3.29826932127984	0.0213878090857942	0.0174697986577181	-0.140807151794434	-3.09000138917178	0.196247644452564	0.494842300556586	-0.0638523101806641	-1.4537271404555	0.157318691126393	0.289621283255086	-0.067533016204834	-1.61555094793328	0.112131204474348	0.12929274611399	-0.096045970916748	-1.86059523380333	0.927862911560816	0.974021948786166	-0.00368070602416992	-0.0944027576248223	0.538516002114248	0.617650551314673	-0.032193660736084	-0.652073621552761	0.570237479268706	0.780112132352941	-0.0285129547119141	-0.600350530511698	P06744	P06744	Glucose-6-phosphate isomerase	GPI
32.00812	32.07131	31.94806	32.0993	31.96613	32.00708	32.11452	32.01485	31.97073	31.83775	31.98587	32.00223	31.96082	31.92575	31.95435	31.97893	31.91478	31.94206	32.00982	31.8903												8	8	8	28.6	28.6	28.6	32.575	0	323.31	111520000000	986	0.899981417037483	0.948722375690608	-0.00605440139770508	-0.131100174019857	0.153942412031565	0.214182817869416	-0.0825557708740234	-1.63132679367185	0.0741364694973864	0.0837664449371766	-0.0767354965209961	-2.15941708905634	0.0725006553812486	0.053094097019287	-0.0924582481384277	-2.1755919187786	0.170320068539118	0.460993020937188	-0.0765013694763184	-1.55767273055287	0.0785124124799647	0.185022269353128	-0.070681095123291	-2.11788629322319	0.0780081095291755	0.0943145574250183	-0.0864038467407227	-2.12254989487825	0.887029111891156	0.963417704011065	0.00582027435302734	0.148214529497832	0.835514306696623	0.859410511851597	-0.0099024772644043	-0.216845088953138	0.595490589757604	0.794904697986577	-0.0157227516174316	-0.560408405703426	P06748	P06748	Nucleophosmin	NPM1
30.93684	30.75239	30.88467	30.90347	30.7171	30.81008	30.73004	30.79769	30.71465	30.6995	30.7427	30.87753	30.68479	30.69037	30.81123	30.82404	30.62593	30.62627	30.75247	30.80993				+							e_a	15	9	9	35.1	20.4	20.4	32.95	0	222.11	40634000000	399	0.064693279076118	0.291023728813559	-0.105616092681885	-2.25836511153919	0.101643960399312	0.157742251223491	-0.110747814178467	-1.93141949486027	0.0791035923377508	0.087649529326575	-0.116737365722656	-2.11245819041782	0.0357847113663454	0.0288513708513709	-0.165694713592529	-2.6956039806411	0.916493806672341	0.969423865546219	-0.00513172149658203	-0.109345565803239	0.810437753498548	0.834287114845938	-0.0111212730407715	-0.250662796829532	0.290981560638208	0.287052582596557	-0.0600786209106445	-1.15770952910279	0.917430691822326	0.971186304128902	-0.00598955154418945	-0.108113162711506	0.40669917706923	0.511444985394352	-0.0549468994140625	-0.892084545872136	0.443269239736998	0.707425438596491	-0.048957347869873	-0.820557983384714	P06753	P06753	Tropomyosin alpha-3 chain	TPM3
26.71358	26.53872	26.79452	26.71738	26.74085	26.59306	26.84721	26.63229	26.46468	26.52103	26.52422	26.48375	26.61414	26.40771	26.75583	26.59861	26.16333	26.56979	26.74381	26.41596		+									c_a	14	14	14	19.1	19.1	19.1	116.04	0	37.56	2160900000	103	0.880988055471463	0.940606615059817	0.0123023986816406	0.15621373538189	0.0138106441449948	0.0435307262569832	-0.192630767822266	-3.439426578329	0.320877854477134	0.311160403299725	-0.0969786643981934	-1.08183351341754	0.156365838309862	0.106913461538462	-0.217827320098877	-1.619970141054	0.0132977960016741	0.103064102564103	-0.204933166503906	-3.47036989697896	0.27778103748249	0.417675708257987	-0.109281063079834	-1.19332992778599	0.140987252542906	0.155987973541792	-0.230129718780518	-1.69511449712671	0.237699605018842	0.635816479400749	0.0956521034240723	1.3113022982051	0.845644540251426	0.869534358974359	-0.0251965522766113	-0.203267122981416	0.428484200117249	0.700802705749718	-0.120848655700684	-0.848930881307692	P06756	P06756	Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain	ITGAV
NaN	NaN	NaN	25.1334	NaN	25.5024	25.12112	NaN	NaN	NaN	25.44101	NaN	25.01048	25.26313	NaN	NaN	24.97993	NaN	24.68619	25.04431												6	6	6	10.8	10.8	10.8	60.702	0	5.7149	752370000	21	1	0.987462460567823	0.17835807800293	0	1	1	0.307613372802734	0	1	1	0.00340557098388672	0	1	0.982595127967931	-0.229920069376629	0	1	0.982806411837238	0.129255294799805	0	0.52421304713217	0.618431200701139	-0.174952507019043	-0.765000607745692	0.135307313549876	0.152017094017094	-0.408278147379558	-2.03028115554736	1	0.977961337833691	-0.304207801818848	0	1	0.960388988629563	-0.537533442179363	0	0.264922902216764	0.574198142414861	-0.233325640360516	-1.36745155547642	P06865	P06865	Beta-hexosaminidase subunit alpha	HEXA
